Source	RelationType	Target	DepType
urn:cite2:gagdt:tokens.v1:Aesch_Ag_44	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_45	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:artificial.v1:Aesch_Ag_1	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_1	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_48	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_46	AuxY
urn:cite2:gagdt:tokens.v1:Aesch_Ag_48	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_47	ADV
urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_48	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_51	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_49	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_51	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_50	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_52	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_51	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_48	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_52	APOS
urn:cite2:gagdt:tokens.v1:Aesch_Ag_52	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_53	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_53	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_54	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_53	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_55	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_55	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_56	AuxP
urn:cite2:gagdt:tokens.v1:Aesch_Ag_56	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_57	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_60	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_58	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_61	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_59	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_55	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_60	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_60	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_61	OBJ
urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_62	AuxK
urn:cite2:gagdt:tokens.v1:Aesch_Ag_46	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_47	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_48	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_49	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_50	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_51	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_52	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_53	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_54	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_55	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_56	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_57	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_58	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_59	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_60	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_61	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_62	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_2	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_65	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_63	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_65	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_64	AuxY
urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_65	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_69	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_66	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_69	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_67	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_69	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_68	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_65	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_69	SBJ
urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_70	AuxK
urn:cite2:gagdt:tokens.v1:Aesch_Ag_63	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_64	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_65	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_66	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_67	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_68	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_69	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_70	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_3	none
urn:cite2:gagdt:artificial.v1:Aesch_Ag_2	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_71	AuxC
urn:cite2:gagdt:tokens.v1:Aesch_Ag_71	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_72	AuxZ
urn:cite2:gagdt:artificial.v1:Aesch_Ag_2	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_73	AuxY
urn:cite2:gagdt:tokens.v1:Aesch_Ag_76	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_74	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_76	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_75	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_78	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_76	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_71	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_77	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_77	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_78	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_81	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_79	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_81	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_80	AuxZ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_78	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_81	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_78	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_82	ATR
urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_83	AuxK
urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	syntGoverns	urn:cite2:gagdt:artificial.v1:Aesch_Ag_2	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_71	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_72	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_73	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_74	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_75	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_76	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_77	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_78	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_79	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_80	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_81	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_82	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_83	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:artificial.v1:Aesch_Ag_2	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_4	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_88	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_84	SBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_88	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_85	AuxY
urn:cite2:gagdt:tokens.v1:Aesch_Ag_88	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_86	AuxP
urn:cite2:gagdt:tokens.v1:Aesch_Ag_86	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_87	ADV
urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_88	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_94	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_89	AuxX
urn:cite2:gagdt:tokens.v1:Aesch_Ag_94	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_90	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_94	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_91	AuxZ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_94	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_92	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_94	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_93	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_88	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_94	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_94	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_95	ADV
urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_96	AuxK
urn:cite2:gagdt:tokens.v1:Aesch_Ag_84	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_85	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_86	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_87	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_88	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_89	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_90	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_91	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_92	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_93	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_94	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_5	none
